天干1,地支1,天干2,地支2,天干3,地支3,天干4,地支4,性别,合并,AI评分,评语
6,6,6,6,5,5,5,7,1,乾己巳己巳戊辰戊午,2,这是锦老师提供的一手八字，命主是他朋友，真实可靠。从亿万到负债4千万，人生大起大落，这是我见过极少的案例，各位易友请珍惜这样的一手案例。乾造：己巳?己巳?戊辰?戊午（空戌亥）胎元：庚申??命宫：庚午大运：戊辰2?丁卯?丙寅?乙丑?甲子?癸亥戊辰日元生己巳月，印当令月上透劫财，天干四土，比劫一片。地支三火一土，巳是戊的禄，午是己的禄，双己是干头刃，克财严重。命局三火五火，印当令，只能化印为用。命局偏枯，多成多败。问家运，层次？答：戊辰运好，丁卯丙寅运差，千万。实际是从丙寅运19年开始变差，20年破产父亡。从亿万到负债4千万，人生如戏。这钱命主还不了，不会还，但实际财富是另一回事。财官不见，命盘偏枯，我从象法上断的。座下辰中有癸乙，财官在自己这里，所以有富，但亿万承载不了，终是一场空。化印己土劫财分印，是问题，大运引动己土要破财。丙寅运，寅午半合，己旺克财，流年己亥，比劫夺财，破财开始。庚子年应该有部分在丙寅运，丙克庚，子午冲，冲了阳刃破大财，破产家破父亡。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,1,8,2,3,1,10,6,1,乾丙子辛丑丙子癸巳,3,冷老师认识很多年，很聪明，高学历，很正直，这是他一个打游戏的朋友，一手的八字，反馈有千万，他不太信。这个盘，初看是容易看走眼，今天发出来，大家一起研究。乾造：丙子?辛丑?丙子?癸巳（空申酉）胎元：壬寅??命宫：己亥大运：壬寅2?癸卯?甲辰?乙巳?丙午丙子日元生辛丑月，伤官当令月上透财，丙辛合子丑合，合财制官。年上丙子伏吟到日，双子合丑，地支官重，丑有化水之象。时上癸巳，时禄归时，巳生丑，加强伤官的力量，命局生机盎然，即制了水，又暖了局。问学历？层次？答：本硕小富，小富指千万。命主反馈是千万，冷老师有些不信。日禄归时，忌见官杀重，好在伤官制官，伤官靠时上的禄星巳为生，所以命局中的巳火不能受伤。读书时行东方运，印来化官生禄，本科。目前行甲辰运，天干印生身，地支辰墓子水，官有制，官当财，千万级。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
7,9,6,4,1,5,2,2,1,乾庚申己卯甲辰乙丑,4,在长期的预测实践中，我发现一个规律：普通人的命盘，反而很难。取用不定，这样行，那样也可以。喜金行金运，没什么大发展，只是表现在人生的顺利。富贵的命盘，格局清纯，喜印命局不见财，或者比劫能护印，大运一路扶印比。相对而言，富贵的盘，反而简单。今天看一群里实战，羊刃架杀，发亿万。乾造：庚申?己卯?甲辰?乙丑（空寅卯）胎元：庚午??命宫：戊子大运：庚辰2?辛巳?壬午?癸未?甲申甲辰日元生己卯月，羊刃当令月上透财，年上庚申，杀天地一气，时上乙丑，乙庚合，羊刃架杀。甲己合财，自座印库通根，日元强旺。合财合官，财官越强，财富越大。层次？A?无业游民，光棍B?亿万富翁C?富人小区，保安队长D?处级干部初运南方，食伤泄秀，读书必然成功，本科至少。AC排除。是富还是贵？这细微之处，是真功夫。天干甲己合，乙庚合，一合财，一合官。乙从卯从辰中出，如只从辰中出，可以代表自己，现在从卯中出，必然代表别人。甲己合实际代表的是命主本人的想法，求财，所以发富亿万。对此盘有思考，不同思路，欢迎在评论区交流。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
10,10,1,1,3,1,5,1,1,乾癸酉甲子丙子戊子,2,这个易友认识好多年了，开始是在三奇群，因为人生预测，析梦那个女骗子，我们认识。不知还有那位易位能记得这个盘，有知道的可以留言。正月初四，问我他遇到什么事？乾造：癸酉?甲子?丙子?戊子（空申酉）胎元：乙卯??命宫：丁巳大运：癸亥6?壬戌?辛酉?庚申丙子日元生甲子月，官星当令月上透印，年上癸酉，地支三子伏吟，财生官重。天干官印相生，这个印怎样定义？决定命局层次，有兴趣的易友可以断下。我五六年前断过会晚婚，捞偏门，现在应验。丙午年庚寅月问我遇到什么事？命局有个很明显的象，地支太阴，酉金生三子，酉是阴金，子是阴水，阴中之阴，必然是G。辛酉运酉到，流年丙午，子午冲引动子水，G气发动。庚寅月财坏印，印为护身之本，断遇G。给这易友整懵，没见过这样准的，有点不信。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
4,2,10,2,3,1,9,5,2,坤丁丑癸丑丙子壬辰,3,?刘玥1999年出生于北京，2016年考入清华大学后留学英国，从象牙塔到P站女王，她以艺名SpicyGum进入成人内容行业，凭借清纯学霸形象与大胆内容的强烈反差迅速走红，成为P站上最具影响力的华人女优之一。群里发的八字，后面反馈是她，今天从命理视角，解析八字里到底藏着哪些逆天密码？坤造：丁丑?癸丑?丙子?壬辰（空申酉）胎元：甲辰??命宫：辛亥大运：甲寅4?乙卯?丙辰?丁巳?戊午丙子日元生癸丑月，伤官当令月上透官，丑月火胎地无力，座官天干官杀混杂，官在年月日时地支有根，官强。年上丁是比劫合杀，生伤官合官。命中意向在制官，辰中乙本，天干杀来生，印不透，伤官为体，思想另类，不安常规出牌。问学历与职业？答：硕士，小姐。早年行东方运，印星化官生身，克伤官乱来的本性，学霸本科考上清华硕士再留学。职业：官在年月日时地支有根，天干透两官杀，到处是男人，伤官制官，官为自己用，伤官是女人的下体，女优。伤官这么重，不可能有裹脚布的传统贞洁观，很庆幸生在新社会，不然浸猪笼。丙辰运，比劫生食神制杀，辰墓官印退气，无所顾忌，20年开始进入成人视频网站。乙巳年印生禄制尽官星，大火。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
9,3,10,2,6,2,5,5,2,坤壬寅癸丑己丑戊辰,3,这是一手盘，真实可靠，家人想知道后面上学怎样。母亲42岁生，县里副书记，后面沟通，千万应该有，当官的好多资产不好公开。富二代的盘网上多见，官二代少见，发出来大家学习。坤造：壬寅?癸丑?己丑?戊辰（空午未）胎元：甲辰??命宫：壬子大运：壬子9?辛亥?庚戌?己酉?戊申己丑日元生癸丑月，比劫当令月上透财，时上戊辰，比劫一片。丑月水有刚进气，癸水壬水，是虚透，这样一看，这盘偏枯，财被克。胎元甲辰，年上寅中见禄，喜官克比劫克财，在娘胎时有生机，命宫壬子财旺，气势反转。问家境，学历？2022年生，学历不可能反馈，空断马后炮是古镇一嘴骗子做的事，我断了家境，官二代千万，反馈是。命不见印，官寅当印，丑月官进气，胎元透，财来生官，官必发用，家庭中有官贵。官不当令，财断千万，先反馈大几百万，后面细问，县级副书记，千万应该有。再反馈，有些资产不便细讲，千万会有。这里要注意，断命要以命为主，不能以反馈为主，如不细问，会是大几百万层次。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
7,9,2,10,5,9,3,5,1,乾庚申乙酉戊申丙辰,2,见多了书房派，算命讲出一大堆道理，真正算命时，什么断不出。这些人特别在反馈后，非常厉害，讲一堆理论。此命满盘食伤，无官星，为伤官伤尽。时柱丙坐辰，为忌神有制。按命书上说的，伤官伤尽反成官。食伤为用，以技艺求财。也有商人，当官的。理论这样讲也对，那样讲不错，真正算命在命局本身的制化，只有在命局本身下功夫，才能如大龙盲派，所断如所见。乾造：庚申?乙酉?戊申?丙辰（空寅卯）胎元：丙子??命宫：庚辰大运：丙戌2?丁亥?戊子?己丑?庚寅?辛卯戊申日元生乙酉月，伤官当令月上透官，年上庚申食神天地一气，坐下申金食神，食旺太旺，泄身太过。食伤重可以考虑顺着食伤走，还要看其它配置。时上丙辰，印来生身，月上官星乙木，被庚金合制，丙克庚，官没坏尽来生印，总体来分析，还是官印相生。问22年如何？断：升职。官印相生出贵，看下读书时行丁亥运丁虚透，亥中藏甲，湿木虽不生火，但命中有丙，印有生机，有学历。工作时行戊子运，比劫克财有贵气。庚寅运壬寅年，寅申冲，大运流年双冲申，能冲去申金，以吉论，冲不了论凶。庚寅运丙火长生，庚在寅上虚透，被丙火正克。壬寅年寅木到壬财生官，冲尽申金，必然利财官。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
2,2,6,2,9,9,1,5,1,乾乙丑己丑壬申甲辰,2,拿到一个命盘，盲断实际是最难，有无数可能的职业，而四个选项，具体到职业，选择相对容易很多，能发现其中的逻辑，很快有答案。反馈如下，很详细：公职警察，派出所所长，父亲有能力，家里有关系，所有前期铺垫，都是家里做的，当警察吃了不少苦，浑身上下都有伤疤。层次，小康婚姻，一婚，有情人，己亥年出轨，闹腾了一阵，没离，壬寅年一直想离，想从新找一个对像。甲午年，吉，结婚。戊戌年，吉，升职副所长，辛丑年，吉，升任所长乾造：乙丑?己丑?壬申?甲辰（空戌亥）胎元：庚辰??命宫：丁亥大运：戊子9?丁亥?丙戌?乙酉?甲申壬申日元生乙酉月，官星当令月上透官，年时是官杀，座下正印化官生身。天干食伤制官制杀，天干地支一致，制官。忌财不见财，命局清纯。层次?A无业游民，无车无房，小混混B派出所所长，小康C小学老师，温饱D开工厂的老板，几千万资产初运北方，扶身生食伤，食伤代表智慧，制官制杀，应该有学历。A不可能。从北方运往西方运，喜用不悖，必然发富贵。C不可能。BD二选一，甲己合官，合官得官，这是所长。另外如果你会看财富层次，小庚与几千万差很多，也能判断。 ?子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
5,11,8,10,3,9,1,7,1,乾戊戌辛酉丙申甲午,1,大龙盲派八字实战群，每天的擂题由群里易友轮流出，打擂当天晚上由出题老师直接反馈，答案只有出题老师自己知道。上榜的老师，剖析易理，分享经验。大龙盲派八字实战群，玩的就是公平公正公开，易学圈子不大，相信很多易友听说过，期待能在易学道路相向前行。此造是刘八卦老师的邻居，感谢刘老师提供一手八字，下面是主要反馈：1学业小学三年(父是解放前教私塾的，文革打成右派坏分子69年退学，兄姐4人命主最小一兄抱养别人一姐嫁乐山，一兄去填房2贫困五保户3职业农民，4未婚5无子女62年得肺炎高烧三天被一土医生用炙法，射火救了一命，从此头脑有问题，但能把黑白电视和收音机修好，会嫁接果树，，78父伤摔伤，80年父去世，09年母去世，2019年政府给两间半房，现政府一月给800多的生活费，不交医保看病不出钱乾造：戊戌?辛酉?丙申?甲午（空辰巳）胎元：壬子??命宫：甲寅大运：壬戌9?癸亥?甲子?乙丑?丙寅?丁卯丙申日元生辛酉月，财星当令月上透财，座财支三合财局，财重。年上戊戌，食神生财，财无制。时上甲午，印生阳刃，阳刃克财，能制住财，就有富，制不住贫。阳刃没有坏，甲木印被月上的财克坏，甲在酉月死绝之地，年月日时，印无法立足，贫。财重无制，光棍。问辛酉运壬寅年，寅申冲寅是命局中的甲，局中死绝，再冲申必然被克制。天干壬是七杀制丙火，断眼克手脚残。实际是生病脑子出问题，甲是印，主智慧。最后一问是问19年己亥，我答题是以为编错，按19年答。丁卯运己亥年，大运比劫助身，卯申合印能得到印。流年己亥，官来生印，结合前面，断吉吃低保，反馈政府给办低保免费医疗，还给盖两间房。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,3,7,3,2,10,7,5,1,乾丙寅庚寅乙酉庚辰,2,当时我发公众号文章《派出所所长，伤官制官》，易友发一个盘，他认为伤官制住官星，发贵。我只看一眼，就知道，这官制不住，必然无贵。当然这盘可能是他自己的盘，和多数人一样，看到好的格局，与自己类似，总会套好的事。乾造：丙寅?庚寅?乙酉?庚辰（空午未）胎元：辛巳??命宫：己亥大运：辛卯8?壬辰?癸巳?甲午?乙未乙酉日元生庚寅月，比劫当令月上透官，双虎从年伏吟到月，身强体旺。乙庚合官座酉杀，年上丙寅，伤官座长身克官，官能克住有贵，克不住，无贵。8岁行辛卯运，正是读书时，要制官，丙辛合，官反而无制，学历不高，反馈是初中。层次降低，因为发贵，多数都要有高学历，又是86年生人壬辰运，印克伤官，辰酉合，命局中的官被加强，用伤官伤官被制，官应制大运反而生，不可能发贵。只看一眼秒断无贵，反馈是个辅警。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
1,9,3,1,5,3,4,6,2,坤甲申丙子戊寅丁巳,2,锦老师提供的一手盘，反馈遇邪、后面加了命主本人，得到更多信息。命主小时候经常会看到不干净东西，前两年还在桥上遇到女飘飘，然后会到梦里，产生对话。今天将盘发出来，一手真实可靠，大家学习。坤造：甲申?丙子?戊寅?丁巳（空申酉）胎元：丁卯??命宫：丙子大运：乙亥7?甲戌?癸酉?壬申戊寅日元生丙子月，财星当令月上透印，年上甲申食神生财，财星强旺。自座七杀，透在年上财旺七杀强。有杀先论杀，七杀克身，好在丙印在月，时上丁巳，有病有药，初看很好的命。再看地支寅巳申三刑，子月巳绝，巳是印，又是禄，三刑刑坏，印坏格局破坏。问乙巳年甲申月何事？好多答死亡，命中财坏印，要见大凶，但不至于死。反馈是遇邪。甲戌年乙巳年甲申月，大运甲透杀攻身，戊在戌月入墓，原命戊座长生，归禄。戊在戌以根论，虽凶不会亡。命书讲，官杀重了是鬼，不是夺命就是劫财。这个命局，归禄有根，三刑体显在命主，容易遇邪，与命符合。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
4,2,2,6,4,6,2,6,2,坤丁丑乙巳丁巳乙巳,2,在群里看到这样偏枯混乱的盘，我喜欢参断，如上图。因为偏枯，取用不定，主要情况如下：温饱，三本，企业电力公司一婚一女乙巳结婚生女，2017：生病，2021：事业财运好有一姐，自己双胞，另一是哥，父母双全，父高血压，20毕业工作。21年开始，事业财运好。24年农历9月订婚，25年正月22，2月19结婚，同年生女。坤造：丁丑?乙巳?丁巳?乙巳（空子丑）胎元：丙申??命宫：丁未大运：丙午8?丁未?戊申?己酉丁巳日元生乙巳月，比劫当令月上透印，巳火从月日时伏吟，月时两层印星生，比劫一片成势，刑克六亲。年上丁丑，丑中辛为父，丑生命无刑冲，父没有大问题。命不见财官，丁巳日官星在夫宫死绝，将来婚姻老公很可能有问题。断家境一般，学历二本左右，25年结婚。喜财不见财，以食神当财，丙午运穿丑，财富一般。忌印印双透无制，丁未运高考，未是印库，食神化比劫，学历不好，实际三本。命不见官，巳中藏庚，以财为夫。丁未运，未冲丑，有花无果。戊申运，伤官生财，乙巳流年，巳申合财，结婚之象。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
10,12,7,9,1,11,1,11,1,乾癸亥庚申甲戌甲戌,4,此造是朱老师的儿子八字，朱老师是专业命理师，实战经验丰富，与我之前在多个群里参断八字，彼此对双方的命理水平都很了解，朱老师年事高，后面不打擂，我们联系就少了。2020年，朱老师爱子心切，让我帮看下其子何年升正厅。结合八字，断了其祖坟，反馈对。以八字来看，壬寅年升正厅，可能性很大。期间多次跟进过，后面也忘记此事，近日想起，问到反馈，壬寅年丑月其子升了正厅。八字命理，遇到高手就是科学，遇到骗子就是迷信。乾：癸亥?庚申?甲戌?甲戌（空申酉）胎元：辛亥?命宫：辛亥大运：己未2?戊午?丁 巳丙辰?乙卯?甲寅?癸丑甲戌日元生庚申月，杀星当令，月上透庚，庚申是白虎，喜年上印化杀。甲戌伏吟到时，时上甲木助身，忌财坏印，财不旺，自己克财，月上申杀化财生印。更妙者，胎元，命宫都是辛亥，自己长生，印星得地，的确是大富大贵之造。37岁已经是副厅级，前途不可限量。丙辰运，问何年升正厅？大运丙辰，食神生财，财生杀。食神制杀，原命以印化杀，所以印透去食最好。支财生杀为忌，以比劫去财为喜。对照流年，壬寅年最是合适。前几日朱老师找我，了解一些情况。没想到有人那他儿子八字找到他，说是交流一下。我估计是看到我公众号文章，刚好认出是朱老师头象，于是找朱老师求证八字的准确性。另外还有易友私下与我交流，发了这个八字，认为是假反馈。83年的正厅，前途不可限量，是不是真的八字，真反馈，我心知肚明。说实话，我自己遇到这种人，也不会解释，也不会争辩。看不出来正厅，说明命理水平不够，到处怀疑别人，说明品德修养不足，与此种人多讲一句，只会显得自己无知。也很感谢这位易友，从另一个维度证明，大龙一直踏踏实实的学习命理，研究命理，并且有一定的命理素养。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
1,7,10,10,8,8,7,3,1,乾甲午癸酉辛未庚寅,2,上面是一位缘主的反馈与认可，与古镇一嘴骗子自吹自擂，用托假算命，真反馈就踢有本质区别。关于寿元有好多种断法，有食伤，印为寿元，这是主流看法，实际上，财，官，比劫都可以看寿元，不同组合的命盘，取用不一样。下面的案例是千里马老师提供的一手案例，真实可靠，今天与大家共同学习。乾造：甲午?癸酉?辛未?庚寅（空戌亥）胎元：甲子??命宫：庚午大运：甲戌10?乙亥?丙子?丁丑?戊寅?己卯?庚辰辛未日元生癸酉月，禄元当令，上透癸食，时上庚寅，比劫生食，食神生年上的财。年上甲午，财生杀，寅午半合杀，命宫座杀，杀破禄，寿不长。地支寅午合，午未合，实际未印有力，食神支无根，只能靠自己挣小钱。问层次，寿元？中年行北方运，食伤见根，但命局食伤无力，虽行运亦无发迹。晚年行财虽喜，但官无制，有点小财，断温饱。论寿元，月上禄坏，时柱庚寅，比劫来克财，财坏印，所以庚不能坏。戊寅运，戊从寅中出，也是时上的寅，生庚，没有问题。己卯运，卯午破，己印禄元坏，财坏印，庚也坏。癸卯年交运庚辰运，庚在胎养之地，也是投胎之象。男怕交运，气驳。卯午破，坏印禄。甲辰年，财坏印，断禄尽。实际癸卯重病，乙巳年不禄。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
5,9,2,2,3,11,6,2,2,坤戊申乙丑丙戌己丑,2,这是一手案例，出题老师有些不确定的反馈，实时问到命主反馈，这样真实可靠的案例，有研究价值。下面是主要细节反馈：职业：刚开始国企，后面跟老公创业做老板。层次：千万。婚姻：二婚，94年一婚，丙申年夫亡，庚子年左右二婚。03?长子意外去世。16?配偶意外去世。08年三女儿意外去世03年之后开始发财。父母健全现在身体都还好。盲派有句口诀，女带伤官福不全，可以参考之前案例：坤造：戊申?乙丑?丙戌?己丑（空午未）胎元：丙辰??命宫：乙卯大运：甲子3 ?癸亥?壬戌?辛酉?庚申丙戌日元生乙丑月，伤官当令月上透印，天干食伤混杂，地支三土泄身，双丑刑戌坏根，戌土只有泄火而不能助身。月上乙木印星，地支无根，财重自身难保，无力生丙，年上戊申伤官生财，丙火只能弃命顺食伤生财。丙火顺着食伤，早年行北方运克身，必然读书很优秀，癸亥运读书时，官克丙，读个大专没问题。行官运，印有生毕业包分配，到国企。33行辛酉财运，财来坏印下海经商，按命相看庚辰年会下海，发财在05年乙酉，制印得财。03年癸未，丑戌未三刑，命中丑刑戌，子孙星被刑坏，流年三刑又冲丑子孙宫，宫星同动是应期。结婚流年看大运，壬戌运夫宫在大运，代表结婚。甲戌流年，印化杀代表结婚证，结婚。命中申中壬水是夫，大运庚申，申到夫亡。丙申流年，丙戊带象，制申中壬水，夫亡。实战是检验命理的唯一标准，上面的截图展示了真实过程。有百分百准？不可能，命理学是模糊的精准，从一个盘，断出七大姑八大姨，那是古镇一嘴骗子的绝招，蒙几次不行，改时辰改生日，最后总要神断才结束，实在不行踢了。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
5,5,7,9,8,10,8,4,2,坤戊辰庚申辛酉辛卯,2,这是群里实断的一个案例，太特殊，比较隐私，打了马赛克，其它图片不放出来。好多群里公开实战的案例，没有特殊之处，我选用公众号案例，直接放出，因为是公开发在群里。当然付费测算的盘，从不外发。当时断了命主家境普通，学历不高，克夫不克父。反馈是，庚子年结婚，老公年末心梗去世。有二姐，打工。比劫重，伤官重婚姻容易出现问题：丁旭清比劫一片，弟弟不灵猫老六亲证?这是紫微骗子丁旭清的八字，与这盘前三柱相同，时柱不同，克父克妻。财当令父先亡，只因比劫一片女带伤官福不全，夫亡子亡发千万坤造：戊辰?庚申?辛酉?辛卯（空子丑）胎元：辛亥??命宫：丁巳大运：己未10?戊午?丁巳?丙辰?乙卯 甲寅?辛酉日元生庚申月，比劫当令五金二土，土金成势。命中财官无立足之地，时上辛卯，地支比劫一片克财，如财制死反求印，是好格局。财制不住，要扶财，行运相悖，命差。地支辰酉合，酉生辰中癸，辰中乙制不住，跑到时上卯，只能用食伤生财最好。断学历不高。用食伤泄秀生财，财来坏印。比劫一片克财，印无制学历不高，一路南方运，生印忌神，初中家境普通。比劫一片克父还是夫？命不见官，财当夫看。卯是财还是夫？按宫位看，卯在时，卯更多体现的是夫星。辰中乙当父，大运没有刑冲，父没问题。丁巳运官星到动婚之象，流年庚子，子水生卯结婚。官生印旺，丑月子丑合食伤被克，巳酉丑合金，巳被化夫亡，没有征兆，突然倒下就去世，心梗，一切皆是命。子平术学习需要找到志同道合的易友，一起实战研究。大 龙研究三十余载，欢迎交流学习。
9,5,5,9,7,11,3,11,1,乾壬辰戊申庚戌丙戌,4,此盘是出题老师的亲戚，盘无误，反馈细节都有，是不可多得的案例。副部级领导，八字气势十足，食神制杀格局高，建议多多研究命理，来源清白，真实可靠的盘，层次这么高，一生不见得遇几回。别拿转了几手的案例，来比较，不是一回事。下面是主要反馈：初期部队卫戍区炮兵领导，回地方后进入省法院。53岁升省法院一把手，65退省政协二线。他们兄弟三个，都当兵，命主是老二，老大当兵后在兵工厂当干部，老三搞煤矿。他们父亲是以前的村支书，之前地下党，母亲在家务农。将相本无种！牛马加油！整理出贵的案例：39岁壬寅升正厅，四年后命主父亲反馈合官得官正处，五千万厅级伤官配印，几群无断对，到处讲假反馈文化馆科长官印相生，几群无断对乾造：壬辰?戊申?庚戌?丙戌（空寅卯）胎元：己亥??命宫：辛亥大运：己酉3?庚戌?辛亥?壬子?癸丑?甲寅?乙卯庚戌日元生戊申月，建禄格月上透印，地支三重土印，时上丙戌，杀印相生。年上壬辰，食神制杀，月上戊印枭神夺食，命盘可以有三种取用。到底怎样选择？要看命盘想要表达什么？而不是命师自己认为怎样。将命盘看成一粒种子，怎样从泥土里生根发芽开花结果，必须当一个生命来看态。壬水在申中长生，胎元，命宫见禄。丙在申月死地，座戌是入墓。戊在申月死地，先生申金再夺食，申化戊生壬，戊力量不够，格取食神制杀。问职业？层次？答：处级，千万。食神制杀，要食旺旺印弱，早年西方运，化印生食，庚戌魁罡武将，当兵发贵。一路北方运，东方运，扶起食伤，克制印星发贵。甲寅运甲申年，财生杀旺，流年见禄可以担起财官，升省高院院长。命理测算一定要以命局为准，统筹分析，抽丝剥茧，最后得出结论，才能预测将来。不可能找一个老师，学习一两个月一两年，可以神算，这种多数会上当受骗。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,5,8,2,5,5,10,2,2,坤丙辰辛丑戊辰癸丑,3,?这是李群主的一个朋友，一手案例，江西人。伤官生财，伤官见根运发千万。男命女命比劫重了都不美，少数两全。命主行业断出，当然职业千千万，不要过于执着，断不对是正常。之前有一个骗子老孔群，专门断职业，命中有两酉，有人算出是做煎饼，讲酉金是两个铲子。但是有一个问题，断对职业的人，很随机，不是那几个人经常对。比劫重，伤官重婚姻容易出现问题案例：丁旭清比劫一片，弟弟不灵猫老六亲证?这是紫微骗子丁旭清的八字，断二婚必离，文章发表没一个星期，爆出老婆猫老六出轨，己签离婚协议，克父克妻。财当令父先亡，只因比劫一片女带伤官福不全，夫亡子亡发千万坤造：丙辰?辛丑?戊辰?癸丑（空戌亥）胎元：壬辰??命宫：辛卯大运：庚子3?己亥?戊戌?丁酉?丙申?乙未戊辰日元生辛丑月，比劫当令月上透伤官，五土一火，火土成势。时癸丑戊癸合，财在丑月有余气，月上伤官透生财为喜，丑墓中透伤，不强。年上丙辰，印合伤官辛，辛被合克，癸必出问题。看盘中年行西方运食伤旺，必发家断千万，五金老板。反馈：命主做PCB老板，丁酉运开始发家，千万身家，老公上班，主要钱财是命主挣的，乙巳年老公去世。比劫一片克财，命中辰中有乙官，癸从财官辰中透，癸当库看，合财财是夫。命中丙辛合，伤官受制夫先亡。丙申大运，丙透合辛，命中丙辛合的应期。乙巳流年，官生印，巳申合食被制，癸绝夫亡。子平术学习需要找到志同道合的易友，一起实战研究。大 龙研究三十余载，欢迎交流学习。
9,7,4,8,1,9,8,8,1,乾壬午丁未甲申辛未,2,乾造：壬午?丁未?甲申?辛未（空午未）胎元：戊戌??命宫：癸卯大运：戊申9 ?己酉?庚戌?辛亥?壬子?癸丑?甲寅?乙卯甲申日元生丁未月，财星当令月上透伤官，年上壬午伤官在午中见禄，午未合未伏吟到月，财星旺极。座申杀，申中壬水透生日元，未中甲有根气，日元弱而不从。时上透辛官，官来生印本为喜，奈何月上伤官克官，年上伤官得禄，祖业不继。初运酉方官地，来生印，学历很好。官是政府，来生印，政府养大成人，读书学习，建房给他住。父亲按命相看，癸未年亡。壬午丁未，天地合，壬水为母。未月土燥，又午合丁生，燥上加燥，喜壬水去燥湿土，所以水不能坏。月上伤官制官，水无源，水坏父亡。癸未年水绝地，癸透未上虚弱无力，父不禄。为什么母亲不认？各位易友自己思考分析。子平术学习需要找到志同道合的易友，一起实战研究。大龙研究三十余载，欢迎交流学习。
3,5,8,2,5,5,10,2,2,坤丙辰辛丑戊辰癸丑,3,是李群主的一个朋友，一手案例，江西人。伤官生财，伤官见根运发千万。群主见我断得很精准，发了一个男盘，问怎样。我当时结合两盘，断是女命老公，反馈是，乙巳年男命去世。八字看另一半，不是玄学猜谜，而是有迹可循的系统分析——?配偶宫（日支）看气质底色，配偶星（男看财、女看官）看具体特征?，与命盘结合，旺衰刑冲克害，才能拼出完整画像，这要与实践结合，提升准确率坤造：丙辰?辛丑?戊辰?癸丑（空戌亥）胎元：壬辰??命宫：辛卯大运：庚子3?己亥?戊戌?丁酉?丙申?乙未戊辰日元生辛丑月，比劫当令月上透伤官，五土一火，火土成势。时癸丑戊癸合，财在丑月有余气，月上伤官透生财为喜，丑墓中透伤，不强。年上丙辰，印合伤官辛，辛被合克，癸必出问题。比劫一片克财，命中辰中有乙官，癸从财库辰中透，癸当官看，合财财是夫。命中丙辛合，伤官受制夫先亡。丙申大运，丙透合辛，命中丙辛合的应期。乙巳流年，官生印，巳申合食被制，癸绝夫亡。比劫重，伤官重婚姻容易出现问题案例：丁旭清比劫一片，弟弟不灵猫老六亲证?这是紫微骗子丁旭清的八字，断二婚必离，文章发表没一个星期，爆出老婆猫老六出轨，己签离婚协议，克父克妻。财当令父先亡，只因比劫一片女带伤官福不全，夫亡子亡发千万乾造：甲寅?癸酉?乙亥?庚辰（空酉申）胎元：庚子??命宫：乙丑大运：甲戌4?乙亥?丙子?丁丑?戊寅?己卯乙亥日元生癸酉月，官星当令月上透印，时上庚辰，乙庚合官地支藏杀，透官当杀，官重喜印座印，印透在月。年上比劫甲寅化月上癸，寅亥合分印，乙在辰中有根，辰酉合辰中乙木坏，辰上透庚又合克辰中乙木，所以命主有大凶。早年很北方运，必然读书成功，北方运化官日子很好过。戊寅运，寅亥合戊癸合，克印了，乙巳年戊土见根，印死地去世。到这里很明显，女命克夫，男命早夭。女命时上丑是食伤库，代表女的下体，与男命年上寅暗合，综合取象，这就是夫妻。子平术学习需要找到志同道合的易友，一起实战研究。大 龙研究三十余载，欢迎交流学习。
